quantile,capacity_mw_dc,Solar_supply_per_land_area,generation_potential_ac,generation_potential_dc,ALAND_SQKM,RESL_SCORE,SOVI_SCORE,TRND_ALRA,TRND_EALA,SWND_ALRA,SWND_EALA,HWAV_ALRA,HWAV_EALA,HAIL_ALRA,HAIL_EALA,DRGT_ALRA,DRGT_EALA,Energy Burden (% income),Percent Non Investor Owned,Value_veggies,Value_berries,AgPV_crop_totals,Sheep_goats_total_sales,Percent Woman-owned Sheep Goats Producers,Percent Nonwhite Sheep Goats Producers,Avg Farm Net Income ($),Percent Woman-owned Cropland,Percent Non-white Cropland,Pastureland,tonne_co2_per_person,SolarPanelLandUse,ag_worker_heat_days,eala_sum_positive,eala_net,EW_AgPV_cobenefits_score,Theme_Weighting_Score
0.25,8697.035155559086,11031.931013514863,14216794.007684037,14216795.316790508,1120.6485281550001,25.0,25.6200008392334,8.50513096225e-06,253.41673273868247,1.7580631567500002e-06,93.19625144244651,2.0161734e-08,1.356774549516541,1.03728901115e-05,432.90832649344156,3.27888867405e-05,1342.175662471213,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5300.5,21.0,0.0,3988.5,11.43169269511214,0.05,0.0,7355.510930513333,5317.5243048826715,0.49884552571364293,0.5176110771274682
0.5,18007.043992218016,19483.159993765712,30248098.4899971,30248101.162876636,1596.5190458099999,50.0,51.2400016784668,2.07979122565e-05,1271.2883928671695,2.2713545223e-05,1097.7412731776249,1.16212313e-06,48.899998801313664,7.79257117755e-05,3343.4394518227646,0.00031616679846049997,21004.004230570477,3.0,0.8468762363058318,0.0,8.0,0.0,72000.0,40.0,0.0,40352.0,38.0,0.0,15459.0,17.18609984454535,0.05,393.0,49186.61232231837,45964.10706772312,0.5660519438683115,0.5925252129951084
0.75,36180.257112130734,31774.06087685214,62699696.77105975,62699705.926150315,2378.1799703025,75.0,76.58000183105469,3.4155341741e-05,3821.361091309511,0.00015785108078624998,11012.315946765886,2.0515160789e-05,1234.2334603931824,0.00033364827703525,25614.22421979342,0.0020726683372202497,163936.48352217398,4.0,5.455134375406622,8.0,28.0,13.0,230000.0,71.0,0.0,114360.5,66.0,0.0,79286.5,22.07808015710034,0.3,1244.625,233179.61809414352,228936.14340300253,0.6507841217350381,0.6823191448093393
