quantile,capacity_mw_dc,Solar_supply_per_land_area,generation_potential_ac,generation_potential_dc,ALAND_SQKM,RESL_SCORE,SOVI_SCORE,TRND_ALRA,TRND_EALA,SWND_ALRA,SWND_EALA,HWAV_ALRA,HWAV_EALA,HAIL_ALRA,HAIL_EALA,DRGT_ALRA,DRGT_EALA,Energy Burden (% income),Percent Non Investor Owned,Value_veggies,Value_berries,AgPV_crop_totals,Sheep_goats_total_sales,Percent Woman-owned Sheep Goats Producers,Percent Nonwhite Sheep Goats Producers,Avg Farm Net Income ($),Percent Woman-owned Cropland,Percent Non-white Cropland,Pastureland,tonne_co2_per_person,SolarPanelLandUse,ag_worker_heat_days,eala_sum_positive,eala_net,EW_AgPV_cobenefits_score,Theme_Weighting_Score
0.2,7002.0810185998525,9328.713226490692,11592276.196250102,11592276.712601218,1049.133465276,20.00200004577637,20.5,6.5379500496e-06,151.33061482942887,1.1399256852000001e-06,53.13566762935191,0.0,0.0,6.770732487000001e-06,243.78701030099074,9.773364138800003e-06,322.04019427051253,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,996.6000000000012,17.0,0.0,2756.4,11.0880106604007,0.05,0.0,4110.659814812576,2865.9106643615946,0.47770403696642744,0.49543765961632263
0.4,13783.497158935548,15938.782363504173,22922094.559715204,22922094.891466293,1433.508701196,40.001998901367195,40.9900016784668,1.5652211713600002e-05,754.3865149883268,8.200316449400002e-06,404.7810101036878,3.93205389e-07,13.865920232970783,3.3592246624400006e-05,1563.7023135328332,0.0001372424996924,8523.6456312811,3.0,0.0,0.0,4.0,0.0,38000.0,29.0,0.0,23404.2,31.0,0.0,9304.400000000001,15.3453681766237,0.05,215.7000000000001,24798.23095524054,22411.12574540414,0.5402808774357649,0.5666596533444717
0.6,23373.02774219238,23708.66645987453,39680238.399903424,39680241.24412554,1855.762540866,59.998001098632805,61.459999084472656,2.5476984391199998e-05,1997.7895690494158,5.6152473067799994e-05,3070.7867402754696,3.721096486e-06,166.3228805896765,0.0001385959119264,7814.164821978252,0.0007495481446899999,51804.441029635236,3.0,2.185471253697838,8.0,13.0,0.0,121000.0,51.0,0.0,66048.59999999999,49.0,0.0,26854.4,21.16198383325872,0.05,643.5,91008.31528307735,87647.20226421021,0.6014836767902527,0.6332916135243967
0.8,43401.939687535516,34982.08300741263,76916655.23860715,76916663.08388926,2658.5869211460003,79.99800262451173,81.37999725341797,3.804892873e-05,4754.976863512505,0.00020007326485860005,17195.641103710877,3.4191934637e-05,2676.9712433179857,0.0004343446412066001,41275.15455556549,0.0028708209583800004,245333.66712405163,4.0,7.425860777913394,16.0,36.0,22.0,299000.0,78.0,0.0,139478.00000000003,74.0,0.0,126549.60000000005,22.34119603502144,0.3,1561.3500000000004,337962.3287762607,333871.43521434814,0.6774022267521977,0.6982375886918625
0.95,127757.11511159696,52555.3563569847,244796150.04613754,244796190.97813517,7529.151952802995,94.9970001220703,95.2300033569336,7.160412187044996e-05,12829.927929115742,0.0008283126812879995,112506.58738026302,0.0001058097864665,18056.026929861167,0.0016480027458356497,304080.8675753128,0.01282233247310235,1039001.8198081601,5.0,24.885201011865163,64.0,216.0,146.0,1111199.9999999988,96.0,78.29999999999973,286360.39999999997,91.0,78.0,548356.2999999989,41.79786377486681,2.05,6073.199999999984,1364930.184710557,1353600.079014546,0.8193927024051554,0.8056921606804136
