FIPS,county,state,Ag_compatibility_exists,Has_undisclosed_cropland,SOVI_SCORE,capacity_mw_dc,EW_AgPV_cobenefits_score,Theme_Weighting_Score
01001,Autauga,Alabama,True,False,51.299999237060554,29947.935192626952,0.8018965386780549,0.7888170296291525
01003,Baldwin,Alabama,True,True,31.030000686645508,62911.63299674463,0.7267864804038873,0.7958380575189606
01005,Barbour,Alabama,True,False,99.2699966430664,58081.84813476562,0.8367207464314997,0.8064267095529309
01007,Bibb,Alabama,True,False,80.77999877929686,38014.05077666015,0.6105230646333787,0.677591571644249
01009,Blount,Alabama,True,False,51.369998931884766,24767.738850585934,0.5193769575710481,0.5410177345514599
01011,Bullock,Alabama,True,False,83.0999984741211,43515.526147558594,0.8513287499398849,0.8170878635234132
01013,Butler,Alabama,True,False,68.43000030517578,67433.7099375,0.8246605686307922,0.7917881070986709
01015,Calhoun,Alabama,True,False,73.48999786376953,22295.271946728513,0.5304713751872845,0.5521434298545701
01017,Chambers,Alabama,True,True,80.73999786376953,48778.67027065429,0.5765358916195944,0.6704735453014611
01019,Cherokee,Alabama,True,True,32.689998626708984,19359.600991918946,0.7009909742383889,0.7805513167617141
01021,Chilton,Alabama,True,False,72.22000122070312,45926.97439482422,0.6091270193210365,0.6672293333829296
01023,Choctaw,Alabama,True,False,71.16000366210938,53018.33892539062,0.7097408825672317,0.6913194651505621
01025,Clarke,Alabama,True,False,85.5199966430664,68676.90105607909,0.5393729579475983,0.6177989185496157
01027,Clay,Alabama,True,False,53.09000015258789,30281.564415673827,0.6084790442457522,0.6614125095118264
01029,Cleburne,Alabama,True,False,45.41999816894531,34621.37238164063,0.5944961323789227,0.6463961435148728
01031,Coffee,Alabama,True,False,64.88999938964844,37741.627965673826,0.8769380364607224,0.8244477868310034
01033,Colbert,Alabama,True,False,34.75,22401.97019934082,0.5190411673119772,0.5526293623591249
01035,Conecuh,Alabama,True,False,65.75,52002.32928793945,0.8366872633850386,0.8139463659552495
01037,Coosa,Alabama,True,False,43.59999847412109,42686.52452841797,0.5349498704151652,0.6273120655214495
01039,Covington,Alabama,True,False,70.75,64990.6077168457,0.6461534161973771,0.6773408824436744
01041,Crenshaw,Alabama,True,False,60.25,32508.01689345703,0.6183159838732505,0.6460435071902549
01043,Cullman,Alabama,True,False,51.560001373291016,31234.951821972652,0.6194609654475784,0.6743933505979359
01045,Dale,Alabama,True,False,80.65000152587889,22521.3990890625,0.5452438031379583,0.5409303494919364
01047,Dallas,Alabama,True,False,91.5699996948242,46371.72585871582,0.8178736273744044,0.8120699346007856
01049,DeKalb,Alabama,True,True,73.87000274658203,26491.886095605467,0.8028990697905742,0.7980208919258168
01051,Elmore,Alabama,True,False,45.63999938964844,32121.664608251955,0.6375173798001217,0.6855790053098166
01053,Escambia,Alabama,True,False,87.08000183105469,56344.17892456054,0.6490270892949359,0.687839329053391
01055,Etowah,Alabama,True,False,64.83000183105469,20414.065211279296,0.624050130565604,0.681584848772336
01057,Fayette,Alabama,True,False,67.25,32225.31242973633,0.5396680349601336,0.5703755854718949
01059,Franklin,Alabama,True,False,72.98000335693358,34969.40129267578,0.6224785939672155,0.6885717649842532
